hhid,yr,temp,precip
1,2017,26.2333335876465,710.400009155273
2,2017,26.2333335876465,710.400009155273
3,2017,26.2333335876465,710.400009155273
4,2017,26.2333335876465,710.400009155273
5,2017,26.2333335876465,710.400009155273
6,2017,26.2333335876465,710.400009155273
7,2017,26.2333335876465,710.400009155273
8,2017,26.2333335876465,710.400009155273
9,2017,26.2333335876465,710.400009155273
10,2017,26.216667175293,943.199996948242
11,2017,26.2333335876465,710.400009155273
12,2017,26.2333335876465,710.400009155273
13,2017,26.2333335876465,710.400009155273
14,2017,26.2333335876465,710.400009155273
15,2017,26.0500011444092,748.70002746582
16,2017,26.0500011444092,748.70002746582
17,2017,26.0500011444092,748.70002746582
18,2017,26.216667175293,943.199996948242
19,2017,26.0500011444092,748.70002746582
20,2017,26.216667175293,943.199996948242
21,2017,26.216667175293,943.199996948242
22,2017,26.216667175293,943.199996948242
23,2017,26.0499992370606,1002.5
24,2017,26.216667175293,943.199996948242
25,2017,26.0499992370606,1002.5
26,2017,26.216667175293,943.199996948242
27,2017,26.216667175293,943.199996948242
28,2017,26.0499992370606,1002.5
29,2017,26.216667175293,943.199996948242
30,2017,26.216667175293,943.199996948242
31,2017,26.216667175293,943.199996948242
32,2017,26.0499992370606,1002.5
33,2017,26.0499992370606,1002.5
34,2017,26.216667175293,943.199996948242
35,2017,26.0500011444092,748.70002746582
36,2017,26.0499992370606,1002.5
37,2017,26.216667175293,943.199996948242
38,2017,26.2333335876465,710.400009155273
39,2017,26.0500011444092,748.70002746582
40,2017,26.0500011444092,748.70002746582
41,2017,26.0500011444092,748.70002746582
42,2017,26.0500011444092,748.70002746582
43,2017,26.0499992370606,1002.5
44,2017,26.0500011444092,748.70002746582
45,2017,26.216667175293,943.199996948242
46,2017,26.0500011444092,748.70002746582
47,2017,26.0500011444092,748.70002746582
48,2017,26.0500011444092,748.70002746582
49,2017,26.2333335876465,710.400009155273
50,2017,26.0500011444092,748.70002746582
51,2017,26.0500011444092,748.70002746582
52,2017,26.2333335876465,710.400009155273
53,2017,26.0500011444092,748.70002746582
54,2017,26.216667175293,943.199996948242
55,2017,26.0500011444092,748.70002746582
56,2017,26.0499992370606,1002.5
57,2017,26.0500011444092,748.70002746582
58,2017,26.0499992370606,1002.5
59,2017,26.216667175293,943.199996948242
60,2017,26.216667175293,943.199996948242
61,2017,26.216667175293,943.199996948242
62,2017,26.0499992370606,1002.5
63,2017,26.2333335876465,710.400009155273
64,2017,26.0500011444092,748.70002746582
65,2017,26.2333335876465,710.400009155273
66,2017,26.0500011444092,748.70002746582
67,2017,26.0499992370606,1002.5
68,2017,26.0500011444092,748.70002746582
69,2017,26.216667175293,943.199996948242
70,2017,26.2333335876465,710.400009155273
71,2017,26.216667175293,943.199996948242
72,2017,26.216667175293,943.199996948242
73,2017,26.0500011444092,748.70002746582
74,2017,26.0500011444092,748.70002746582
75,2017,26.0500011444092,748.70002746582
76,2017,26.0500011444092,748.70002746582
77,2017,26.2333335876465,710.400009155273
78,2017,26.216667175293,943.199996948242
79,2017,26.216667175293,943.199996948242
80,2017,26.0500011444092,748.70002746582
